"Ratio","Value",
0.851332306459,0,
0.0681575466417,1,
0.0390421152219,2,
0.00786360904264,3,
0.00317405084157,4,
0.00317025795421,5,
0.00298797228577,6,
0.00268186215431,7,
0.00244103810466,8,
0.00158059325639,9,
0.00137514117605,10,
0.00111196828872,11,
0.00101701203675,12,
0.00092664420189,13,
0.000531575693299,14,
0.000345817772303,15,
0.000323351253022,16,
0.00031101446183,17,
0.000301625754357,18,
0.000299608510884,19,
0.00029372768123,20,
0.000289021276389,21,
0.000287465737872,22,
0.000280461974885,23,
0.000276094434453,24,
0.000273795157634,25,
0.000268426437447,26,
0.000265858256038,27,
0.00026402243913,28,
0.000260211122186,29,
0.000257462492016,30,
0.00025271857912,31,
0.000248661340734,32,
0.000246780446302,33,
0.000240720467457,34,
0.000239905593405,35,
0.000234926079284,36,
0.000231346265042,37,
0.000230506918146,38,
0.000227151151205,39,
0.000223667643455,40,
0.000212975335489,41,
0.000193477247578,42,
0.000125647017865,43,
0.000102615160736,44,
7.77223016734e-05,45,
6.98972116063e-05,46,
6.54667305895e-05,47,
6.26556735885e-05,48,
6.24369994044e-05,49,
6.08276179023e-05,50,
5.91460354024e-05,51,
5.72218611417e-05,52,
5.70762678682e-05,53,
5.62128988988e-05,54,
5.48884269827e-05,55,
5.4179505968e-05,56,
5.19253219871e-05,57,
5.10859476702e-05,58,
4.97057336317e-05,59,
4.905121103e-05,60,
4.7232750754e-05,61,
4.57352483896e-05,62,
4.52407778288e-05,63,
4.40182694471e-05,64,
4.3922475239e-05,65,
4.26585228935e-05,66,
4.25933325478e-05,67,
4.13663306276e-05,68,
4.0866390718e-05,69,
3.99300669585e-05,70,
3.71936116246e-05,71,
3.66345010862e-05,72,
2.94013196272e-05,73,
1.88471708145e-05,74,
1.08142127721e-05,75,
9.05297168804e-06,76,
3.95965923153e-06,77,
2.90574477294e-06,78,
2.080611597e-06,79,
1.80624354031e-06,80,
1.34401968943e-06,81,
9.39256085323e-07,82,
8.10438460704e-07,83,
6.1528034502e-07,84,
5.51772799328e-07,85,
4.41026631075e-07,86,
3.89960040436e-07,87,
3.11464056633e-07,88,
3.04383083743e-07,89,
2.46660173648e-07,90,
1.7994127529e-07,91,
1.68226589504e-07,92,
1.07375201272e-07,93,
9.28979787613e-08,94,
9.07715552093e-08,95,
8.83324289178e-08,96,
6.96228329274e-08,97,
6.35020962068e-08,98,
5.11442815308e-08,99,
