"Probability","TestValue",
1,0,
0,0,
1,0,
1,1,
0,0,
0,0,
1,1,
1,0,
0,0,
0,0,
1,0,
1,0,
0,1,
1,1,
0,1,
1,1,
0,0,
0,1,
1,0,
1,0,
0,1,
1,0,
0,1,
1,0,
0,0,
1,0,
1,0,
1,1,
0,1,
0,1,
0,0,
0,0,
1,1,
0,0,
0,0,
0,0,
0,0,
0,0,
1,0,
0,0,
1,1,
0,0,
0,0,
1,1,
0,1,
0,1,
0,1,
1,0,
0,0,
0,1,
0,0,
1,0,
1,1,
1,1,
0,1,
0,1,
0,0,
0,0,
1,1,
1,1,
0,1,
0,1,
1,0,
1,0,
1,1,
1,1,
0,1,
1,1,
1,0,
1,0,
1,0,
0,1,
1,1,
1,1,
0,1,
1,0,
0,1,
1,1,
1,0,
1,1,
0,0,
0,0,
1,1,
1,1,
0,1,
1,0,
1,0,
0,1,
1,0,
1,0,
0,0,
0,1,
0,0,
1,0,
1,1,
1,1,
1,1,
1,1,
1,1,
1,1,
0,0,
1,0,
0,1,
0,1,
1,0,
0,1,
1,1,
1,0,
1,0,
0,0,
1,0,
1,0,
0,0,
1,1,
1,1,
0,0,
1,0,
1,0,
0,0,
1,0,
0,0,
0,0,
0,0,
0,0,
0,1,
1,0,
1,0,
1,1,
0,1,
1,0,
1,0,
1,0,
1,0,
0,0,
0,1,
1,1,
1,1,
1,1,
0,1,
1,0,
0,1,
1,0,
1,1,
1,0,
1,1,
1,1,
1,1,
0,1,
0,1,
0,0,
0,0,
1,1,
0,1,
1,1,
1,1,
1,0,
1,1,
1,0,
1,0,
0,0,
0,1,
0,0,
1,0,
0,0,
0,0,
0,0,
0,0,
0,0,
1,1,
0,1,
1,0,
1,0,
1,1,
0,1,
1,1,
1,1,
0,1,
0,1,
0,1,
0,0,
0,1,
1,0,
1,1,
0,0,
0,1,
0,1,
0,1,
0,0,
1,1,
0,1,
1,1,
1,0,
1,0,
1,1,
0,1,
1,1,
0,1,
0,1,
0,1,
0,1,
1,1,
1,1,
0,1,
0,0,
1,1,
1,1,
0,1,
0,0,
1,1,
0,0,
1,1,
0,0,
1,1,
1,0,
1,1,
1,0,
0,0,
1,0,
0,0,
0,0,
0,1,
1,0,
1,0,
1,1,
0,1,
0,0,
1,0,
0,1,
1,1,
0,0,
0,0,
0,0,
0,0,
1,0,
0,0,
0,0,
1,1,
1,0,
0,1,
0,1,
1,1,
0,1,
0,1,
0,1,
1,1,
1,0,
1,1,
1,0,
1,0,
0,1,
0,0,
0,1,
1,0,
0,1,
0,1,
0,1,
0,1,
0,0,
0,1,
0,1,
0,0,
1,1,
1,1,
1,1,
1,1,
1,1,
0,0,
0,1,
0,0,
1,1,
1,0,
0,0,
0,0,
0,0,
0,1,
1,1,
1,1,
0,1,
1,1,
0,0,
1,1,
0,1,
0,0,
0,0,
1,1,
0,0,
0,1,
0,1,
1,0,
1,1,
0,1,
1,0,
1,1,
0,1,
1,0,
1,0,
1,0,
0,0,
0,0,
0,1,
0,0,
1,1,
0,0,
1,1,
1,0,
0,0,
1,0,
0,0,
1,0,
1,1,
1,1,
1,1,
0,0,
0,0,
0,1,
1,1,
1,0,
1,1,
0,1,
0,1,
0,1,
0,1,
1,0,
1,1,
1,1,
1,1,
1,1,
0,0,
1,0,
0,0,
1,1,
1,1,
0,1,
0,1,
1,0,
1,0,
0,1,
0,1,
0,0,
1,0,
0,1,
0,0,
1,0,
1,1,
0,0,
0,0,
1,1,
0,1,
0,1,
0,0,
0,1,
1,1,
0,1,
0,1,
1,0,
1,1,
0,0,
0,1,
0,1,
1,1,
0,1,
1,1,
1,1,
0,1,
1,0,
1,1,
1,1,
1,0,
1,0,
1,1,
0,1,
1,0,
0,1,
1,1,
1,0,
0,1,
1,1,
1,0,
0,1,
1,1,
0,0,
0,0,
1,1,
0,1,
1,0,
1,1,
1,1,
0,1,
1,1,
1,1,
1,1,
0,0,
0,1,
1,0,
1,0,
1,1,
0,1,
0,1,
1,0,
1,0,
1,1,
1,0,
1,1,
1,1,
1,0,
0,1,
0,1,
0,1,
1,1,
1,0,
1,1,
0,0,
1,0,
0,1,
1,1,
0,0,
0,0,
0,1,
1,0,
0,1,
1,1,
0,1,
0,1,
1,1,
1,0,
0,1,
0,0,
0,0,
0,0,
1,1,
0,0,
0,0,
1,1,
1,1,
1,0,
0,1,
0,1,
0,0,
0,0,
0,0,
0,1,
0,0,
0,0,
1,1,
1,1,
1,0,
1,0,
0,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0,1,
0,0,
0,0,
1,0,
1,1,
0,1,
1,1,
0,0,
1,0,
0,1,
1,1,
1,1,
1,1,
1,1,
1,1,
1,0,
0,0,
0,1,
0,1,
0,0,
0,0,
0,1,
1,1,
1,1,
1,0,
0,1,
1,0,
1,1,
0,0,
1,1,
0,1,
0,1,
0,0,
0,1,
1,1,
1,1,
0,0,
1,1,
1,1,
0,1,
0,0,
1,1,
0,1,
1,1,
0,1,
0,1,
1,1,
0,1,
0,1,
0,1,
1,1,
1,1,
1,0,
1,1,
0,1,
1,1,
1,1,
0,1,
1,1,
1,0,
0,0,
0,0,
1,0,
1,0,
1,1,
0,1,
0,1,
0,0,
0,1,
1,1,
0,1,
1,1,
0,1,
1,1,
1,1,
0,1,
1,0,
1,0,
0,0,
0,0,
0,0,
0,1,
1,1,
1,1,
0,1,
1,0,
1,0,
0,1,
0,0,
1,1,
1,0,
1,1,
0,1,
1,1,
1,1,
1,1,
0,0,
0,0,
1,1,
0,0,
1,0,
0,0,
1,1,
1,1,
1,0,
1,0,
0,1,
0,1,
1,0,
0,0,
1,1,
1,0,
0,1,
1,1,
0,1,
1,1,
1,1,
0,0,
1,0,
0,0,
1,1,
1,0,
1,1,
1,0,
0,0,
0,1,
1,1,
1,1,
1,1,
1,1,
1,1,
0,0,
0,0,
0,1,
0,1,
1,0,
1,0,
0,1,
1,1,
0,1,
0,0,
0,1,
1,1,
1,1,
0,0,
1,1,
0,1,
0,1,
0,0,
1,1,
0,1,
0,1,
1,1,
0,0,
0,0,
1,1,
1,1,
0,1,
1,0,
1,1,
0,0,
0,0,
0,0,
1,0,
1,0,
0,0,
1,1,
0,1,
0,0,
1,1,
1,0,
0,0,
1,1,
0,0,
1,0,
0,0,
1,1,
0,0,
0,1,
0,0,
1,1,
1,1,
0,0,
1,1,
0,0,
0,1,
1,0,
0,1,
1,1,
1,0,
1,0,
0,1,
1,1,
1,1,
0,1,
0,0,
1,1,
0,1,
0,0,
0,1,
1,0,
1,1,
1,1,
0,1,
0,0,
0,1,
0,1,
0,0,
1,1,
1,1,
0,1,
0,1,
0,1,
1,1,
0,0,
1,1,
0,1,
0,0,
1,1,
1,0,
0,0,
0,0,
1,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,1,
0,0,
1,0,
0,0,
1,0,
1,0,
0,0,
1,0,
1,0,
1,0,
0,0,
1,1,
0,0,
1,0,
1,1,
0,1,
1,1,
1,0,
1,1,
0,1,
1,1,
1,1,
0,1,
1,1,
1,1,
0,1,
1,1,
0,1,
1,1,
0,0,
1,1,
0,1,
0,1,
0,1,
1,0,
1,0,
0,1,
1,0,
1,1,
1,0,
0,1,
1,1,
1,1,
1,1,
0,1,
1,1,
0,0,
1,0,
0,1,
1,1,
0,0,
1,0,
1,0,
0,1,
1,1,
1,0,
0,0,
0,1,
0,0,
0,0,
1,1,
1,1,
0,0,
1,1,
1,1,
0,1,
0,0,
1,0,
1,0,
1,1,
1,1,
0,1,
0,1,
1,1,
0,1,
1,0,
0,0,
1,1,
0,0,
1,1,
1,0,
1,0,
1,0,
0,0,
1,0,
1,0,
0,0,
1,0,
0,1,
0,0,
0,0,
1,0,
0,0,
0,0,
0,1,
0,0,
0,0,
1,1,
1,0,
0,0,
1,0,
1,0,
0,1,
1,0,
1,0,
0,0,
0,0,
1,1,
0,0,
1,0,
0,0,
1,0,
1,0,
1,0,
1,0,
0,0,
1,1,
1,0,
1,0,
1,0,
1,0,
0,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0,0,
0,0,
0,0,
1,0,
1,0,
1,0,
0.614440774021,0,
1,0,
1,0,
0,0,
1,0,
1,0,
1,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0,0,
1,0,
0,0,
0,0,
1,0,
0,0,
0,0,
1,0,
0,0,
0,0,
0,0,
1,0,
0,1,
0,0,
0,1,
1,0,
0,1,
1,0,
1,0,
1,0,
1,0,
1,0,
1,1,
1,0,
1,0,
1,0,
1,0,
1,0,
0,0,
0,1,
0,1,
1,0,
1,0,
0,0,
1,0,
1,1,
1,0,
0,0,
1,0,
1,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0,0,
0,0,
1,0,
1,0,
1,0,
1,0,
0,0,
1,0,
1,0,
1,0,
0,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0.000433048297089,0,
1,0,
1,0,
1,1,
1,0,
1,0,
0,0,
0,0,
1,0,
1,0,
1,0,
1,1,
1,0,
1,0,
1,0,
0,0,
1,0,
0,1,
0,0,
1,0,
1,1,
0,0,
1,0,
1,0,
1,0,
1,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,1,
1,0,
0,0,
1,0,
1,0,
1,0,
0,0,
1,0,
1,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0,0,
0,1,
1,1,
0,0,
0,0,
0,0,
1,0,
0,0,
0,0,
1,0,
1,1,
1,1,
0,0,
0,0,
0,0,
1,0,
0,0,
1,0,
1,0,
1,0,
1,0,
0,1,
1,0,
1,0,
1,0,
1,0,
0,0,
1,0,
1,0,
1,0,
0,0,
0,0,
1,0,
0,0,
1,0,
1,0,
1,0,
0,0,
0,0,
1,0,
1,0,
0,0,
1,0,
0,0,
1,0,
0,0,
0,0,
0,0,
0,0,
0,0,
1,0,
0,0,
0,0,
1,0,
1,1,
1,0,
1,0,
1,0,
0,0,
1,0,
1,0,
0,0,
1,0,
0,0,
1,0,
0,0,
1,0,
0,0,
1,0,
1,0,
0,0,
1,0,
1,0,
0,0,
1,0,
1,1,
1,0,
0,0,
1,0,
0,0,
0,0,
1,0,
0,0,
1,0,
1,0,
0,0,
1,0,
1,0,
1,0,
1,0,
0,0,
0,0,
1,0,
1,0,
0,0,
1,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0,0,
1,0,
0,0,
0,0,
1,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,1,
1,1,
1,0,
1,0,
0.615113257875,0,
0,0,
0.054211101802,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0,0,
0,0,
1,0,
1,0,
1,0,
0,0,
1,0,
1,0,
0,0,
1,0,
1,0,
1,1,
0,0,
1,0,
1,0,
1,0,
0,0,
0,0,
1,0,
0,0,
1,0,
1,0,
1,0,
0,0,
1,0,
1,0,
1,0,
0,0,
1,0,
1,0,
1,0,
1,1,
1,0,
1,0,
1,1,
0,0,
0,0,
0,0,
0,0,
1,0,
0,0,
1,1,
1,1,
1,0,
1,0,
1,1,
0,0,
1,0,
0,1,
1,0,
0,1,
1,1,
1,1,
1,0,
1,0,
1,0,
1,0,
1,0,
1,1,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0,0,
0,0,
1,0,
1,0,
0,0,
0,0,
0,0,
1,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0,0,
1,0,
1,0,
1,0,
0,0,
1,0,
0,0,
0,0,
0,1,
0,0,
1,0,
0,0,
1,0,
0,0,
0,0,
0,0,
0,0,
1,0,
1,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0,0,
1,0,
1,0,
0,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0.962257140502,0,
0,0,
1,0,
0,0,
0,1,
0,0,
0,0,
0,0,
1,0,
0,0,
1,0,
0,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0,0,
1,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,1,
1,1,
0,0,
1,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0,0,
0,0,
1,0,
1,0,
1,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,1,
1,0,
1,0,
1,0,
0,0,
0,0,
0,0,
0,0,
0.221370155766,0,
1,0,
1,1,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0,0,
0,0,
0,1,
1,0,
0,0,
1,0,
1,1,
1,0,
0,0,
0,0,
0,0,
1,0,
0,1,
1,0,
1,0,
1,0,
1,0,
0,0,
1,0,
0,0,
0,0,
1,0,
1,0,
0,0,
1,0,
0,0,
1,0,
1,0,
1,0,
1,0,
0,0,
1,0,
1,0,
1,0,
0,0,
0,0,
1,0,
1,0,
1,1,
1,0,
1,0,
1,0,
1,1,
0,0,
0,0,
1,0,
0,0,
1,0,
1,0,
0,0,
1,0,
1,0,
1,1,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
1,0,
1,0,
0,0,
1,0,
1,0,
0,0,
1,0,
1,1,
0,0,
1,1,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0,0,
1,0,
0,0,
0,0,
1,0,
1,0,
1,0,
1,0,
0,0,
1,0,
0.914590952708,0,
0,0,
1,0,
1,0,
0,0,
0,0,
0,0,
1,0,
1,0,
1,0,
1,0,
0,0,
1,0,
1,0,
0,1,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0,0,
0,0,
1,0,
0,0,
1,0,
1,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0,0,
0,0,
0,1,
0,0,
0,0,
0,0,
1,1,
1,1,
1,0,
1,0,
1,0,
1,1,
1,0,
1,1,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0,0,
1,0,
1,0,
0,0,
0,0,
0,0,
1,0,
1,0,
0,0,
0,0,
1,0,
1,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0,0,
1,0,
0,0,
0,0,
1,0,
1,0,
0,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0,0,
1,0,
1,0,
1,0,
1,0,
0,0,
0,0,
0,0,
1,0,
1,0,
1,1,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0,0,
1,0,
1,0,
1,0,
0,0,
0,0,
1,0,
1,0,
1,0,
1,0,
0,0,
0,0,
1,0,
0,0,
0.00100095913727,0,
1,0,
0,0,
1,0,
1,0,
1,1,
1,0,
1,0,
1,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,1,
1,1,
1,0,
1,0,
1,0,
1,0,
0,0,
1,1,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
0,0,
0,0,
0.0748832361729,0,
0,0,
0,0,
0.323789455769,0,
0,0,
1,0,
0,0,
0,0,
1,0,
1,0,
1,0,
